Timestamp	Did you participate in part I?	Face 1	Face 2	Face 3	Face 4	Face 5	Face 6	Face 7	Face 8	Face 9	Face 10	Person that exists
1/24/2021 4:00:51	No	Sarah	David	Brittany	Rick	Robert	Hannah	Gordon	James	Susan	Marianne	Charles
1/24/2021 4:01:00	Yes	Sarah	David	Brittany	Rick	John	Michelle	Peter	Seth	Susan	Monica	Kyle
1/24/2021 4:01:47	Yes	Evelyn	David	Jessica	Doug	John	Michelle	Jason	James	Susan	Margaret	Felix
1/24/2021 4:02:14	Yes	Sarah	David	Mary	Michael	Patrick	Helen	Peter	Seth	Susan	Hayley	John.......Is this OP?
1/24/2021 4:03:42	No	Jennifer	Jack	Brittany	Rick	John	Helen	Richard	Marcus	Susan	Marianne	Adam
1/24/2021 4:04:00	No	Sarah	Jack	Brittany	Rick	Patrick	Michelle	Gordon	Marcus	Harriet	Marianne	
1/24/2021 4:06:57	No	Jennifer	David	Brittany	Rick	Patrick	Michelle	Gordon	Marcus	Harriet	Margaret	Griffin
1/24/2021 4:08:25	No	Lynn	David	Jessica	Rick	Robert	Hannah	Gordon	Marcus	Gillian	Monica	
1/24/2021 4:10:29	No	Jennifer	Michael	Brittany	Rick	Robert	Michelle	Gordon	Eric	Susan	Marianne	Alex
1/24/2021 4:11:23	Yes	Carrie	Enrique	Linda	Michael	Ilgar	Helen	Richard	Marcus	Gillian	Margaret	6/10 would not bang
1/24/2021 4:12:24	Yes	Sarah	Keith	Caitlyn	Doug	John	Michelle	Gordon	Eric	Susan	Margaret	Alex
1/24/2021 4:12:33	Yes	Sarah	Michael	Jessica	Rick	Patrick	Michelle	Gordon	Seth	Susan	Monica	Ryan
1/24/2021 4:12:53	No	Evelyn	David	Brittany	Michael	John	Mindy	Gordon	Marcus	Susan	Margaret	Chase
1/24/2021 4:13:14	No	Sarah	David	Brittany	Doug	John	Mindy	Gordon	Marcus	Susan	Margaret	
1/24/2021 4:14:01	No	Sarah	Michael	Caitlyn	Michael	Robert	Michelle	Gordon	James	Susan	Margaret	Eric
1/24/2021 4:15:44	No	Jennifer	Jack	Brittany	Doug	Patrick	Michelle	Jason	Eric	Susan	Margaret	
1/24/2021 4:16:11	Yes	Lynn	Enrique	Jessica	Doug	Robert	Helen	Richard	Marcus	Harriet	Margaret	Brian
1/24/2021 4:16:30	No	Evelyn	David	Jessica	Rick	Robert	Michelle	Jason	Marcus	Susan	Margaret	Ryan
1/24/2021 4:17:01	Yes	Carrie	David	Caitlyn	Rick	Robert	Michelle	Richard	Marcus	Harriet	Marianne	Fredbert
1/24/2021 4:17:02	Yes	Carrie	David	Mary	Doug	Patrick	Michelle	Gordon	Marcus	Susan	Marianne	Brad
1/24/2021 4:17:25	No	Jennifer	David	Caitlyn	Rick	Robert	Michelle	Gordon	Marcus	Susan	Margaret	James
1/24/2021 4:17:42	No	Sarah	David	Jessica	Michael	Patrick	Michelle	Jason	Marcus	Susan	Margaret	Joel
1/24/2021 4:17:45	No	Evelyn	David	Linda	Michael	Patrick	Helen	Gordon	James	Claire	Marianne	kent
1/24/2021 4:18:26	No	Jennifer	David	Caitlyn	Doug	Robert	Helen	Richard	Marcus	Claire	Marianne	
1/24/2021 4:20:31	No	Carrie	David	Caitlyn	Reiner	Robert	Michelle	Gordon	James	Susan	Margaret	Ryan
1/24/2021 4:21:26	No	Carrie	Michael	Jessica	Doug	Bob	Michelle	Joey	Eric	Harriet	Margaret	James
1/24/2021 4:22:32	No	Evelyn	David	Jessica	Michael	Robert	Mindy	Peter	James	Susan	Marianne	Sean/Shawn 
1/24/2021 4:22:49	No	Carrie	David	Jessica	Michael	Patrick	Michelle	Peter	Eric	Susan	Marianne	Taylor 
1/24/2021 4:22:56	No	Evelyn	Enrique	Jessica	Rick	Patrick	Hannah	Richard	Marcus	Susan	Margaret	Ignacio
1/24/2021 4:25:30	Yes	Evelyn	Enrique	Jessica	Michael	Robert	Michelle	Peter	James	Gillian	Monica	Chris
1/24/2021 4:26:42	No	Sarah	Michael	Caitlyn	Michael	John	Mindy	Gordon	Marcus	Susan	Margaret	Devin
1/24/2021 4:26:57	No	Evelyn	Michael	Brittany	Rick	Patrick	Michelle	Gordon	Eric	Susan	Marianne	Seth 
1/24/2021 4:27:11	Yes	Sarah	David	Caitlyn	Doug	John	Sandy	Jason	Marcus	Harriet	Monica	James
1/24/2021 4:29:10	Yes	Evelyn	Michael	Jessica	Michael	Robert	Michelle	Richard	Eric	Susan	Marianne	Caleb
1/24/2021 4:29:36	Yes	Jennifer	David	Caitlyn	Michael	John	Michelle	Richard	Eric	Susan	Margaret	Sam
1/24/2021 4:31:25	No	Jennifer	David	Caitlyn	Rick	John	Michelle	Jason	Jim	Susan	Margaret	Jason
1/24/2021 4:31:37	No	Carrie	David	Brittany	Michael	John	Michelle	Gordon	Marcus	Susan	Monica	Jared
1/24/2021 4:31:39	No	Sarah	Keith	Caitlyn	Michael	John	Mindy	Richard	Marcus	Susan	Margaret	Justin
1/24/2021 4:34:21	No	Sarah	Enrique	Jessica	Doug	Patrick	Helen	Peter	James	Susan	Margaret	Bryan
1/24/2021 4:34:42	Yes	Jennifer	Enrique	Caitlyn	Rick	Patrick	Hannah	Gordon	Marcus	Susan	Margaret	Frederique
1/24/2021 4:35:11	Yes	Evelyn	Michael	Caitlyn	Rick	John	Michelle	Peter	Marcus	Susan	Marianne	Marley
1/24/2021 4:38:33	No	Carrie	Keith	Brittany	Michael	John	Sandy	Joey	Marcus	Gillian	Megan	David
1/24/2021 4:39:46	No	Sarah	David	Jessica	Michael	John	Helen	Jason	Marcus	Gillian	Monica	Jacob
1/24/2021 4:40:20	Yes	Sarah	Michael	Jessica	Doug	John	Michelle	Richard	Seth	Susan	Marianne	socksfor1 popular gaming youtuber
1/24/2021 4:41:09	Yes	Sarah	Michael	Brittany	Doug	Patrick	Michelle	Jason	Marcus	Claire	Margaret	Edvard Munch
1/24/2021 4:43:34	No	Sarah	Jack	Jessica	Rick	Patrick	Mindy	Peter	Marcus	Susan	Monica	
1/24/2021 4:44:01	No	Carrie	Enrique	Jessica	Reiner	John	Michelle	Richard	Marcus	Gillian	Margaret	Holden
1/24/2021 4:46:10	No	Jennifer	Michael	Brittany	Doug	Patrick	Helen	Richard	Eric	Susan	Monica	Devon
1/24/2021 4:46:22	No	Lynn	Jack	Brittany	Michael	Robert	Michelle	Joey	Eric	Susan	Marianne	
1/24/2021 4:46:23	No	Evelyn	Michael	Jessica	Rick	Patrick	Hannah	Gordon	Eric	Susan	Margaret	Josh
1/24/2021 4:46:30	No	Sarah	Enrique	Jessica	Michael	John	Mindy	Joey	James	Susan	Margaret	Jason
1/24/2021 4:48:02	No	Lynn	Enrique	Brittany	Doug	Ilgar	Michelle	Richard	Eric	Susan	Monica	
1/24/2021 4:48:09	No	Evelyn	David	Jessica	Michael	Robert	Michelle	Jason	Eric	Susan	Margaret	Josh
1/24/2021 4:48:45	No	Carrie	Michael	Jessica	Rick	Robert	Hannah	Peter	Eric	Claire	Margaret	Shawn
1/24/2021 4:49:35	No	Sarah	Michael	Jessica	Doug	Patrick	Michelle	Peter	Marcus	Susan	Margaret	Eric
1/24/2021 4:51:40	No	Carrie	Enrique	Jessica	Michael	Robert	Hannah	Gordon	Eric	Susan	Margaret	Chris
1/24/2021 4:52:49	No	Sarah	David	Brittany	Michael	Robert	Michelle	Gordon	Marcus	Harriet	Marianne	
1/24/2021 4:53:02	Yes	Carrie	Michael	Caitlyn	Rick	John	Michelle	Richard	Marcus	Susan	Marianne	Mitch
1/24/2021 4:54:37	Yes	Sarah	Michael	Jessica	Michael	Patrick	Hannah	Peter	Jim	Susan	Margaret	Kyle
1/24/2021 4:56:19	No	Evelyn	Michael	Jessica	Doug	Robert	Michelle	Peter	Eric	Susan	Marianne	Jason
1/24/2021 4:58:20	No	Sarah	Michael	Jessica	Rick	Patrick	Michelle	Peter	Marcus	Susan	Margaret	Tyler
1/24/2021 4:58:24	No	Lynn	David	Brittany	Doug	Ilgar	Hannah	Peter	James	Susan	Marianne	Travis
1/24/2021 4:58:33	No	Jennifer	David	Brittany	Rick	Robert	Mindy	Peter	Seth	Susan	Megan	
1/24/2021 4:58:45	No	Carrie	David	Jessica	Doug	Bob	Mindy	Gordon	Seth	Susan	Marianne	Stephen
1/24/2021 4:58:57	No	Sarah	David	Jessica	Michael	Ilgar	Michelle	Gordon	Eric	Susan	Marianne	Ryan or Tim
1/24/2021 4:59:29	Yes	Sarah	David	Jessica	Reiner	Patrick	Michelle	Gordon	Eric	Claire	Margaret	Francois
1/24/2021 4:59:36	No	Carrie	Enrique	Brittany	Michael	John	Helen	Richard	James	Susan	Marianne	Kyle
1/24/2021 5:01:23	Yes	Sarah	Michael	Brittany	Doug	Patrick	Michelle	Gordon	Eric	Susan	Marianne	Kevin
1/24/2021 5:01:56	No	Sarah	David	Brittany	Doug	Robert	Michelle	Gordon	Marcus	Susan	Marianne	Tom
1/24/2021 5:02:14	No	Sarah	Enrique	Brittany	Rick	Patrick	Hannah	Peter	Eric	Susan	Marianne	Aaron
1/24/2021 5:02:59	No	Evelyn	Michael	Caitlyn	Reiner	Robert	Michelle	Peter	Marcus	Gillian	Monica	chris pratt😎
1/24/2021 5:04:07	No	Sarah	Michael	Brittany	Doug	Robert	Michelle	Richard	Eric	Susan	Marianne	Nick
1/24/2021 5:05:37	Yes	Evelyn	David	Caitlyn	Kajim	Ilgar	Michelle	Gordon	Marcus	Susan	Margaret	W2S
1/24/2021 5:06:43	No	Sarah	Keith	Caitlyn	Rick	Robert	Mindy	Joey	Seth	Susan	Monica	Matt
1/24/2021 5:07:01	No	Sarah	David	Brittany	Doug	John	Michelle	Peter	James	Gillian	Margaret	Ian
1/24/2021 5:07:20	No	Carrie	Michael	Jessica	Reiner	Ilgar	Michelle	Peter	James	Harriet	Margaret	Julian
1/24/2021 5:09:12	Yes	Lynn	Michael	Jessica	Doug	John	Michelle	Gordon	Marcus	Susan	Margaret	
1/24/2021 5:09:40	No	Sarah	David	Brittany	Rick	Patrick	Michelle	Richard	Eric	Susan	Monica	Tim
1/24/2021 5:09:55	No	Sarah	Michael	Jessica	Rick	Patrick	Helen	Richard	Marcus	Susan	Margaret	
1/24/2021 5:09:59	No	Sarah	David	Brittany	Michael	Robert	Mindy	Peter	Marcus	Gillian	Margaret	Chris
1/24/2021 5:10:02	No	Carrie	David	Caitlyn	Michael	Robert	Mindy	Gordon	James	Susan	Megan	Brandon
1/24/2021 5:10:08	No	Carrie	Michael	Linda	Doug	John	Michelle	Gordon	Eric	Harriet	Margaret	Scott
1/24/2021 5:10:36	No	Sarah	Michael	Jessica	Doug	Patrick	Mindy	Joey	Marcus	Susan	Margaret	Hugh Mungus
1/24/2021 5:10:47	Yes	Sarah	David	Caitlyn	Doug	John	Hannah	Gordon	Marcus	Susan	Marianne	Seth
1/24/2021 5:11:39	No	Evelyn	David	Jessica	Doug	Robert	Sandy	Peter	Seth	Susan	Monica	Joshua
1/24/2021 5:12:14	No	Carrie	David	Jessica	Doug	Robert	Michelle	Peter	Marcus	Susan	Margaret	Jonathan
1/24/2021 5:13:08	No	Sarah	David	Brittany	Michael	John	Michelle	Gordon	Marcus	Susan	Marianne	Evan
1/24/2021 5:14:17	No	Sarah	David	Brittany	Michael	John	Michelle	Gordon	Eric	Susan	Marianne	Ryan
1/24/2021 5:14:17	No	Jennifer	Michael	Jessica	Rick	Robert	Michelle	Gordon	Marcus	Susan	Margaret	James
1/24/2021 5:14:17	No	Sarah	David	Mary	Reiner	Patrick	Sandy	Jason	James	Susan	Hayley	Darren
1/24/2021 5:14:25	No	Sarah	David	Brittany	Michael	John	Michelle	Gordon	Eric	Susan	Marianne	Ryan
1/24/2021 5:14:36	No	Carrie	Michael	Caitlyn	Rick	Robert	Mindy	Peter	James	Susan	Margaret	Sven
1/24/2021 5:14:49	Yes	Lynn	David	Jessica	Doug	Patrick	Michelle	Peter	Marcus	Susan	Margaret	
1/24/2021 5:16:03	No	Carrie	Michael	Jessica	Rick	Robert	Michelle	Richard	Eric	Gillian	Marianne	Johnathan 
1/24/2021 5:16:27	No	Sarah	David	Brittany	Rick	John	Michelle	Richard	James	Gillian	Margaret	Sam
1/24/2021 5:17:32	No	Carrie	Keith	Brittany	Doug	Patrick	Helen	Richard	James	Gillian	Margaret	Sean
1/24/2021 5:17:33	No	Carrie	Michael	Brittany	Rick	Robert	Sandy	Gordon	James	Savannah	Megan	Chad
1/24/2021 5:18:02	No	Evelyn	Michael	Brittany	Michael	John	Michelle	Gordon	Eric	Susan	Marianne	Ryan
1/24/2021 5:18:22	No	Sarah	Enrique	Brittany	Michael	Patrick	Michelle	Gordon	Eric	Susan	Margaret	Brad
1/24/2021 5:18:54	No	Carrie	David	Caitlyn	Michael	Robert	Hannah	Gordon	James	Susan	Margaret	Ryan
1/24/2021 5:19:42	No	Carrie	Enrique	Jessica	Rick	Patrick	Michelle	Gordon	Marcus	Susan	Marianne	Daniel
1/24/2021 5:19:44	Yes	Sarah	Michael	Jessica	Rick	Robert	Michelle	Richard	James	Susan	Marianne	
1/24/2021 5:19:51	No	Evelyn	David	Brittany	Rick	Robert	Michelle	Gordon	Eric	Susan	Marianne	Jensen
1/24/2021 5:20:12	No	Lynn	David	Mary	Doug	Patrick	Helen	Peter	Marcus	Harriet	Margaret	Jake
1/24/2021 5:20:15	No	Jennifer	David	Brittany	Michael	Robert	Hannah	Peter	Marcus	Susan	Margaret	Ben
1/24/2021 5:22:06	No	Evelyn	Michael	Brittany	Rick	Robert	Mindy	Peter	Eric	Susan	Margaret	Dillon
1/24/2021 5:22:20	No	Carrie	David	Caitlyn	Rick	Robert	Mindy	Gordon	Marcus	Susan	Monica	Geoff
1/24/2021 5:22:52	No	Carrie	Michael	Brittany	Rick	John	Michelle	Gordon	Marcus	Susan	Margaret	Kyle
1/24/2021 5:23:38	No	Lynn	Michael	Brittany	Doug	Robert	Michelle	Peter	Marcus	Susan	Marianne	
1/24/2021 5:24:19	Yes	Sarah	Michael	Jessica	Rick	Ilgar	Hannah	Peter	James	Susan	Margaret	Mitch
1/24/2021 5:26:01	No	Jennifer	Enrique	Jessica	Rick	Ilgar	Michelle	Gordon	James	Susan	Margaret	Dickbutt
1/24/2021 5:26:13	No	Carrie	Enrique	Caitlyn	Michael	Robert	Hannah	Gordon	James	Susan	Marianne	Trevor
1/24/2021 5:26:15	No	Carrie	Michael	Jessica	Michael	John	Michelle	Peter	Eric	Susan	Monica	James
1/24/2021 5:27:08	Yes	Sarah	Michael	Caitlyn	Doug	Robert	Michelle	Gordon	Marcus	Susan	Marianne	Todd
1/24/2021 5:27:50	No	Carrie	Keith	Brittany	Michael	John	Hannah	Richard	Marcus	Susan	Margaret	Gabe
1/24/2021 5:27:59	Yes	Lynn	David	Brittany	Michael	Robert	Michelle	Richard	James	Susan	Monica	Chad
1/24/2021 5:29:15	No	Sarah	David	Jessica	Doug	John	Michelle	Gordon	Marcus	Susan	Marianne	Edwin
1/24/2021 5:29:34	No	Carrie	Michael	Jessica	Reiner	Ilgar	Michelle	Richard	Marcus	Gillian	Monica	Rufus
1/24/2021 5:30:44	No	Sarah	Michael	Jessica	Rick	John	Mindy	Gordon	Marcus	Harriet	Monica	Mark
1/24/2021 5:31:25	No	Sarah	Michael	Jessica	Doug	Patrick	Michelle	Gordon	James	Susan	Marianne	
1/24/2021 5:32:16	No	Sarah	Michael	Jessica	Rick	Patrick	Helen	Peter	James	Gillian	Margaret	
1/24/2021 5:32:42	Yes	Carrie	David	Jessica	Michael	John	Hannah	Peter	Seth	Claire	Margaret	
1/24/2021 5:32:43	No	Jennifer	David	Linda	Michael	Robert	Helen	Gordon	Seth	Susan	Margaret	
1/24/2021 5:33:25	No	Carrie	Jack	Brittany	Doug	Patrick	Mindy	Jason	Eric	Claire	Margaret	Brian
1/24/2021 5:33:39	No	Sarah	David	Caitlyn	Michael	Robert	Michelle	Peter	Eric	Susan	Marianne	Sean
1/24/2021 5:34:10	No	Evelyn	Michael	Caitlyn	Michael	John	Sandy	Gordon	James	Gillian	Margaret	Jacob
1/24/2021 5:34:17	No	Sarah	Michael	Brittany	Rick	Robert	Michelle	Jason	Eric	Susan	Margaret	Justin
1/24/2021 5:35:56	No	Carrie	David	Jessica	Rick	Robert	Mindy	Jason	Eric	Gillian	Margaret	Squidward
1/24/2021 5:36:05	No	Evelyn	Michael	Brittany	Michael	John	Sandy	Gordon	James	Gillian	Monica	Jason (you closed Part 1 before I could participate, you should have left it open for more than just a few hours.. think about the time zones)
1/24/2021 5:36:52	No	Carrie	Michael	Caitlyn	Rick	Patrick	Hannah	Peter	Marcus	Susan	Margaret	Chase
1/24/2021 5:37:32	No	Sarah	David	Brittany	Rick	Ilgar	Michelle	Gordon	Marcus	Susan	Marianne	Frederick 
1/24/2021 5:38:07	Yes	Evelyn	Jack	Brittany	Michael	John	Michelle	Richard	Marcus	Susan	Margaret	Stoner Steve
1/24/2021 5:39:36	No	Carrie	Michael	Brittany	Rick	Robert	Michelle	Richard	Eric	Susan	Margaret	David
1/24/2021 5:40:04	No	Evelyn	Enrique	Brittany	Michael	Bob	Michelle	Peter	Eric	Susan	Marianne	Elon
1/24/2021 5:40:37	No	Lynn	Michael	Jessica	Rick	Robert	Hannah	Peter	Eric	Harriet	Marianne	
1/24/2021 5:41:22	Yes	Sarah	Keith	Brittany	Doug	John	Michelle	Jason	Marcus	Susan	Margaret	Sam
1/24/2021 5:41:27	No	Sarah	David	Brittany	Reiner	Ilgar	Michelle	Peter	Eric	Gillian	Marianne	Matt
1/24/2021 5:41:47	Yes	Lynn	Michael	Caitlyn	Doug	John	Helen	Joey	Seth	Susan	Monica	Rick
1/24/2021 5:42:18	No	Evelyn	Enrique	Caitlyn	Doug	John	Mindy	Joey	Eric	Gillian	Monica	Steve 
1/24/2021 5:42:56	No	Sarah	Jack	Jessica	Michael	John	Helen	Jason	Marcus	Susan	Margaret	
1/24/2021 5:43:40	Yes	Jennifer	Michael	Brittany	Rick	Patrick	Mindy	Peter	Eric	Susan	Monica	
1/24/2021 5:43:57	No	Carrie	Michael	Brittany	Rick	Robert	Hannah	Gordon	Marcus	Gillian	Margaret	
1/24/2021 5:44:21	No	Lynn	Jack	Mary	Rick	John	Helen	Peter	James	Susan	Margaret	Paul
1/24/2021 5:44:34	No	Jennifer	David	Brittany	Reiner	John	Mindy	Peter	Marcus	Gillian	Margaret	Seth
1/24/2021 5:45:09	Yes	Sarah	Keith	Brittany	Doug	Robert	Michelle	Richard	Marcus	Harriet	Monica	Dylan
1/24/2021 5:45:14	No	Evelyn	David	Jessica	Rick	Robert	Helen	Peter	Eric	Susan	Margaret	Ed
1/24/2021 5:46:22	Yes	Sarah	Michael	Jessica	Doug	Robert	Michelle	Richard	James	Claire	Marianne	Phil
1/24/2021 5:47:13	No	Sarah	Jack	Brittany	Rick	Patrick	Mindy	Peter	Marcus	Susan	Marianne	cliff
1/24/2021 5:47:49	No	Jennifer	David	Linda	Michael	Robert	Michelle	Richard	Marcus	Susan	Margaret	
1/24/2021 5:48:18	No	Sarah	Enrique	Brittany	Rick	John	Helen	Jason	Marcus	Susan	Margaret	Cletus
1/24/2021 5:48:21	Yes	Sarah	Enrique	Linda	Michael	Robert	Sandy	Jason	Eric	Susan	Margaret	Matt
1/24/2021 5:49:09	No	Carrie	David	Brittany	Michael	John	Michelle	Joey	Marcus	Harriet	Marianne	Joseph
1/24/2021 5:49:15	Yes	Sarah	Michael	Jessica	Doug	Robert	Michelle	Jason	Marcus	Susan	Megan	Adam
1/24/2021 5:51:05	No	Carrie	Enrique	Caitlyn	Michael	John	Mindy	Peter	Marcus	Susan	Marianne	Andy
1/24/2021 5:52:25	Yes	Carrie	David	Brittany	Doug	John	Michelle	Gordon	Marcus	Susan	Marianne	Seth
1/24/2021 5:54:09	No	Sarah	Michael	Jessica	Doug	Robert	Helen	Jason	Eric	Susan	Monica	Brian
1/24/2021 5:55:49	No	Sarah	David	Caitlyn	Doug	John	Michelle	Peter	Eric	Susan	Margaret	Hunter
1/24/2021 5:56:17	No	Lynn	David	Caitlyn	Michael	John	Michelle	Gordon	James	Claire	Margaret	
1/24/2021 5:58:42	Yes	Jennifer	Keith	Brittany	Michael	Ilgar	Michelle	Gordon	James	Susan	Margaret	Kyle
1/24/2021 6:01:49	No	Sarah	David	Caitlyn	Doug	Patrick	Michelle	Gordon	James	Gillian	Marianne	
1/24/2021 6:02:02	No	Evelyn	Enrique	Jessica	Doug	John	Mindy	Peter	Marcus	Gillian	Marianne	Derrick 
1/24/2021 6:02:11	No	Carrie	David	Caitlyn	Rick	Patrick	Helen	Jason	Marcus	Gillian	Marianne	Arthur 
1/24/2021 6:03:13	No	Evelyn	Enrique	Linda	Rick	Patrick	Mindy	Gordon	Marcus	Susan	Monica	Seth
1/24/2021 6:03:26	No	Carrie	David	Caitlyn	Michael	John	Hannah	Richard	Marcus	Susan	Margaret	Steve
1/24/2021 6:03:35	No	Jennifer	Michael	Brittany	Doug	Ilgar	Michelle	Gordon	Marcus	Gillian	Megan	Jacques 
1/24/2021 6:03:41	Yes	Evelyn	Keith	Jessica	Doug	Ilgar	Helen	Richard	Eric	Gillian	Margaret	
1/24/2021 6:05:06	Yes	Sarah	Michael	Brittany	Doug	John	Hannah	Peter	Eric	Susan	Marianne	Jared
1/24/2021 6:05:16	No	Carrie	Enrique	Caitlyn	Michael	Ilgar	Helen	Richard	James	Gillian	Marianne	Joe
1/24/2021 6:05:21	Yes	Carrie	David	Brittany	Michael	Robert	Hannah	Gordon	Eric	Susan	Margaret	Horace 
1/24/2021 6:05:31	Yes	Carrie	Jack	Brittany	Rick	Patrick	Helen	Richard	Marcus	Harriet	Margaret	Matthew
1/24/2021 6:05:42	No	Evelyn	Keith	Linda	Michael	Patrick	Helen	Peter	Marcus	Susan	Marianne	Steven
1/24/2021 6:06:05	No	Evelyn	Michael	Caitlyn	Reiner	John	Sandy	Peter	Marcus	Susan	Margaret	Liam
1/24/2021 6:08:32	No	Sarah	Michael	Brittany	Rick	John	Michelle	Richard	Marcus	Susan	Margaret	Ryan
1/24/2021 6:09:25	No	Evelyn	Keith	Brittany	Reiner	Robert	Michelle	Peter	Eric	Claire	Margaret	 Kurdus
1/24/2021 6:09:58	Yes	Evelyn	Michael	Brittany	Michael	John	Michelle	Richard	Seth	Gillian	Marianne	Ludo
1/24/2021 6:10:51	Yes	Lynn	David	Jessica	Michael	John	Helen	Richard	Seth	Susan	Margaret	Luke
1/24/2021 6:10:58	No	Evelyn	Michael	Caitlyn	Doug	Patrick	Michelle	Gordon	Marcus	Harriet	Margaret	Jason
1/24/2021 6:12:35	No	Carrie	Keith	Brittany	Rick	Robert	Mindy	Gordon	Seth	Susan	Margaret	Facey McFaceFace
1/24/2021 6:14:52	No	Evelyn	Michael	Jessica	Rick	Patrick	Michelle	Peter	Marcus	Susan	Marianne	
1/24/2021 6:15:15	No	Evelyn	Michael	Brittany	Doug	Robert	Michelle	Jason	Marcus	Susan	Marianne	Mark
1/24/2021 6:16:31	No	Carrie	David	Caitlyn	Michael	John	Michelle	Peter	Eric	Susan	Monica	Benji
1/24/2021 6:17:39	No	Sarah	Michael	Jessica	Reiner	John	Michelle	Richard	James	Harriet	Marianne	
1/24/2021 6:17:49	Yes	Evelyn	Michael	Jessica	Doug	Patrick	Michelle	Gordon	Marcus	Susan	Margaret	Adam
1/24/2021 6:18:03	No	Jennifer	David	Jessica	Doug	Robert	Michelle	Jason	Eric	Susan	Margaret	Jacob
1/24/2021 6:18:10	No	Carrie	Keith	Brittany	Michael	Robert	Michelle	Gordon	James	Susan	Margaret	
1/24/2021 6:18:25	No	Carrie	Michael	Linda	Reiner	John	Sandy	Joey	Seth	Gillian	Marianne	Jonah
1/24/2021 6:19:17	No	Sarah	David	Brittany	Reiner	Patrick	Sandy	Gordon	James	Susan	Margaret	Chadwick
1/24/2021 6:20:26	No	Jennifer	Michael	Brittany	Doug	John	Mindy	Richard	Marcus	Susan	Marianne	Eric
1/24/2021 6:20:27	Yes	Carrie	Keith	Caitlyn	Doug	Robert	Michelle	Gordon	Marcus	Claire	Margaret	Joseph
1/24/2021 6:23:33	Yes	Sarah	Michael	Jessica	Doug	Patrick	Michelle	Gordon	Eric	Susan	Margaret	CHAD
1/24/2021 6:25:11	No	Lynn	Enrique	Linda	Doug	John	Helen	Gordon	Marcus	Claire	Margaret	Brandon
1/24/2021 6:25:19	No	Carrie	Keith	Jessica	Michael	Robert	Mindy	Peter	Eric	Susan	Marianne	
1/24/2021 6:26:03	No	Jennifer	Michael	Brittany	Doug	Robert	Michelle	Richard	Eric	Gillian	Marianne	Elliott
1/24/2021 6:26:32	No	Evelyn	Jack	Caitlyn	Doug	John	Helen	Gordon	James	Harriet	Margaret	Jonathan 
1/24/2021 6:26:36	No	Evelyn	David	Brittany	Rick	Patrick	Michelle	Richard	Marcus	Harriet	Margaret	Trevor
1/24/2021 6:27:32	No	Carrie	Keith	Caitlyn	Rick	Robert	Helen	Gordon	James	Gillian	Margaret	Ivan
1/24/2021 6:29:23	No	Evelyn	Keith	Brittany	Michael	Patrick	Michelle	Peter	Marcus	Susan	Margaret	
1/24/2021 6:30:08	No	Evelyn	David	Caitlyn	Rick	Robert	Michelle	Peter	Seth	Gillian	Margaret	Jim
1/24/2021 6:30:52	No	Jennifer	Michael	Jessica	Rick	Patrick	Michelle	Richard	Marcus	Susan	Margaret	Jason
1/24/2021 6:31:00	No	Carrie	Michael	Linda	Rick	Robert	Mindy	Peter	Eric	Susan	Marianne	cole
