Timestamp	Face 1	Face 2	Face 3	Face 4	Face 5	Face 6	Face 7	Face 8	Face 9	Face 10	What is the better name for the shape on the left?	Who dis?	Best name for an evil kid?
1/23/2021 18:41:07	Emily	Joe	Carly	Mark	Christopher	Maria	Jan	Brian	Margaret	Hazel	Takete	Child Boulder 	Damian
1/23/2021 18:41:12	Ella	Timothy	Danya	Michael	Mark	Ellen	Oscar	Mike	Paula	Elizabeth	Takete	Logan	Rama
1/23/2021 18:42:10	Sarah	John	Carys	Ed	David	Jennifer	Mike	Owen	Margaret 	Katherine 	Takete	Boris	Kevin/Karen
1/23/2021 18:42:26	Frieda	Jon	Amy	Jeter		Jacqueline	Mark	Garrett	Susan	Laura	Equally fitting		
1/23/2021 18:42:43												Hella Jeff	
1/23/2021 18:42:52	Annie	Michael	Ariane	Tim	Stephen	Stella	Frank	Bill	Susan	Lillian	Takete	Barry	Josh
1/23/2021 18:43:01	Lucy	Jason	Chelsea	Robert	Michael	Amber	Bob	John	Wilma	Amy	Takete	Arnold	Neville
1/23/2021 18:44:20	sarah	mark	jen	craig	matthew	lisa	richard	abraham	dorothy	catheryn	Takete	jimbo	newton
1/23/2021 18:45:13	Harriet	Pablo	Kelly 	Mark	Ryan	Jennifer	Karl	Marcus	Peggy or Peg	Julia	Takete	Bo	Leo
1/23/2021 18:45:21	Keegan	Paul	Ashley	Ray	Jim	Tina	Doug	Michael	Janet	Nicole	Takete	Todd	Brayden
1/23/2021 18:45:40	Maaike	Bie	Jill	Mark	William	Ay lee	Gordon	Bob	Margaret	Julia	Takete	Kevin	Melchior
1/23/2021 18:46:47	Kimberly	Omar	Kimberly	Christopher	Steven	Ariana	Chris	Christiano	Louise	Monica	Takete	Jolo	Malvin
1/23/2021 18:49:05	Sara	Raymond	Rebekah	Ted	Simon 	Susan	Kyle 	Jason	Margaret 	Mary	Takete	Jack	Aaron
1/23/2021 18:49:21	Jina	Tim	Stephany	Bob	Dale	Sheen	Brook	Elevrez	Mara	Lonie	Takete	Jake paul	Rambo
1/23/2021 18:50:06	Alice	Andrew	Ilana	Burt	Marc	Lilian	Todd	Bruce		Mez	Takete	Jot	Kurt
1/23/2021 18:50:09	Chrylda	Stephsteban	big nose	everybody hates ray	goodwill jared kushner	current med student, future porn star	generic chef #5	still young in spirit	constipated stina	that one dude's wife who wont suck his dick and he's bummed about it but he manages usually to keep a straight face about it but deep inside he just wants his weiner succed and she wont do it and he keeps remembering his highschool girlfriend he dumped because her laugh was annoying and now he cant stop thinking about what could have been and it's starting to affect his marriage but he wants to keep it together for the kids but his wife has started to notice that he is more distant than before and because human interaction is hard she has become more distant too and stopped showing interest in him worsening their issues to the point where she has convinced herself that if he just did the dishes more she would maybe feel more relaxed around him and they could get together more, and they've talked about that and he's really improved in the housework but since that was not the root of the issue she still feels distant to him making him feel resentful and jilted and now he is suspecting that she is adulterous, but she isn't because if she was I would have pounced on that cougar like I was trying to tame a bronco on steroids anyway their kids notice too, the son has become a computer addict and their daughter hangs around with much older men. this puts the man on edge and he now feels like he has to micromanage his daughter, take care of the entire house, not fuck his wife and on top of that he's got work so he has started to get a few gray hairs, making him look a little bit distinguished he feels,  that cute 20 year old klerk with daddy issues at the local butchers shop has been chatting him up an awful and he feels bad about feeling good about getting the attention his wife isn't showing him  but he is so tired of jerking off to porn every night that he is very close to seeing if there is something there, meanwhile his wife, now in the early autumn of her life has lost her once perkiness, she is increasingly tired, she opens a bottle of wine ever earlier in the day and her children are growing more distant, she knows that her husband has a gun and wonders sometimes if there is a heaven, and if she still needs to suck that dick every other year there	Equally fitting	steve the glasses man	that non dick suckin bitch's son 
1/23/2021 18:50:35	Elisa	Mario	Alyssa	Paul	Simon	Zoe	Steven	Anthony	Helen	Rachel	Maluma	Gregory	
1/23/2021 18:50:56	Aria	David 	Kelsey	Tom	Carl	Anaïs	Conner	Eduard	Mary	Margret	Takete	Elrad	Fred
1/23/2021 18:52:16	Chelsea	Thomas	Angie	Daniel	Paul	Sandra	Ken	Will	Linda 	Rose	Takete	Chris Elliot	The girl from stranger things
1/23/2021 18:52:18	Tina	Marco	Ester	Paul	Fred	Mayumi	Chester	Paublo	Evelyn	Darcy	Takete	Kyle	Stephen
1/23/2021 18:52:24	Andrea	Berkkan	Lucia	Pete	Marc	Ann	Dick	AJ	Fanny	Liza	Takete	Bo	Dmitri
1/23/2021 18:53:02	Anna	Jacob	Becky	John	Elijah		Matthew	Lucas	Susan	Marjorie	Takete	Jake	Kevin
1/23/2021 18:53:13	Grace 	Roger	Karen	Mark	Josh	Dora	Bob	Bradley	Rosa	Anne	Takete	Ricky	Ethan 
1/23/2021 18:53:21	Daisy 	Ralph 	Sheila 	Bill	Steven 	Candace 	Micheal 	Lorenzo	Maggie	Elizabeth 	Takete	Jimmy Rocker 	Natas
1/23/2021 18:53:44	Arlington	Dave	Chantel	Steven	Mark	Mi	Bill	Dan	Miranda	Shelly	Takete	Jake	Eric
1/23/2021 18:55:35	Ashley	Jason	Keira	Andy	Dominic	Mae	Chris	Mo	Dianne	Florence	Takete	Noah little	Noah lot
1/23/2021 18:56:11	Sophia	Aaron	Quendra	Paul	Emmanuel	Olivia	Ted	Ken	Melinda	Sue	Takete	Lil cranberry 	Jimmy
1/23/2021 18:56:47	Alyssa	Brad	Cheryl	Bob	Eric	Pam	Charles	Ben	Margaret	Milly	Takete	Jimmy	Lucifer
1/23/2021 18:57:17	Elizabeth	Lucas	Rebecca	Steven	Mark	Lisa	Johan	Roger	Ingrid	Cecilia	Takete	Jake	Jacob
1/23/2021 18:58:02	Janey	Todd	Christine	Derek	Robert	Julia	Adam	Stephen	Joyce	Harriet	Takete	Kieran	Damien
1/23/2021 18:58:15	Allison	Patrick	Sandy	Bob	Ilgar	Sally	Patrick	Robert	Patricia	Lucy	Takete	Chad	Netero
1/23/2021 18:58:41	Cady	Marcus	Carmen	Alan	Dominic	Tatiana	Gordon	Lukas	Doris	Kate	Maluma	TJ	Dennis
1/23/2021 18:58:44	Erin	Sergio	Kaitlin	Mark	Matt	Angela	Louis	Dante	Grace	Tasha	Takete	I don't know his name but he's definitely a TikToker	Francis
1/23/2021 18:58:45	Katie	Jon	Rosa	Mark	Dominic	Ruby	Lawrence	Jason	Linda	Sue	Takete	Sean	Ashley
1/23/2021 18:59:19	Dolly	Greg	Lyndsay	Bert	Timothy	Avani	Saul	Raj	Betty	Sheryl	Takete	Dan the Mushroom Man	Trevor
1/23/2021 19:00:24	Jannette	John	Clarissa	Michael	William	Sophia	Greggory	Da-Kendrik	Pam	Lucy	Takete	Legally- John. He prefers people to call him "Rad"	Lucas
1/23/2021 19:00:52	Alanna	Stephen	Sonya	Rick	Christopher	Susan	Noah	Dizen	Mary	Lisa	Takete	Scoobert doobert	The bringer of woe
1/23/2021 19:01:56	Linda	Mark	Maria	Thomas	Jack	Melinda	Rick	Simon	Ruth	Caroline	Takete		
1/23/2021 19:02:06	Amy	Michael	Jessica	Brad	Stephen	Deborah	Gus	Pablo	Linda	Karen	Takete	Kyle	James
1/23/2021 19:02:08	Camille	Robert	Stella	Richard	Michel	Michelle	Franck	Samuel	Françoise 	Catherine 	Takete	Francky	Bruce Bad Lee
1/23/2021 19:02:39	Linda	Mark	Maria	Thomas	Jack	Melinda	Rick	Simon	Ruth	Caroline	Takete		
1/23/2021 19:02:51	Emily	Carl	Lisa	Mark	Leonard	Mina	John	Amar	Betsy	Wilma	Takete	Garry	Camden
1/23/2021 19:03:45	Alice	Breck	Katherine	Robert	Paul	Slyvia	Ivan	Rodrick	Kathy	Debra	Takete	Sonder	Damian
1/23/2021 19:04:59		Fred		John							Maluma		
1/23/2021 19:05:25	Katelyn	David	Kimberly	Mark	Peter	Susan	Bill	Jason	Janet	Betty	Takete	Owen	Sid
1/23/2021 19:05:41	Lillian 	Brian	Karen	Chris	David	Kelly	Ethan	Tom	Cathy	Elizabeth	Takete	Beavis	Damien
1/23/2021 19:06:02	Amy	Mark	Emily	David	Christopher 	Lisa	Samuel	Robert	Dorothy	Maggie	Takete	Brandon	Clint
1/23/2021 19:06:32	Chrissie	Pablo	Celia	Robert	Nathan	Amelia	Hank	Isaiah	Hannah	Marlene	Takete		
1/23/2021 19:06:51	robin	erik	natalie	tom	adam	deborah 	benny	james	lisa	cheryl	Takete	peepee	poopoo
1/23/2021 19:07:36	Amy	George	Lindsay	Mark	Paul	Christine	Eric	Jeff	Linda	Mary	Takete		
1/23/2021 19:07:56	Elizabeth 	Jerry	Michelle	Dan	Larry	Kelly	Martin	Dan	Charlotte	Rose	Maluma	Steven fs 	Dylan
1/23/2021 19:08:26	Sarah	Mike	Chloe 	Steve	Andrew	Catherine	Randy	Edward	Claire	Susan	Takete	Jeff	Reece
1/23/2021 19:08:32	Laura	Tom	Sophie	John	Nick	Alice	Tom	Michael	Ann	Julie	Takete	Chad	Timmy
1/23/2021 19:08:54	Ashley	Tim	Kylie	John	Richard	Sarah	Frank	Daniel	Renée	Michelle	Maluma	Rob	Lukas
1/23/2021 19:09:00	Chloe	Justin	Paris	Robert	Anthony	Suzanne	Garfield	Reggie	Janice	Anna	Takete	Scooter	Peter
1/23/2021 19:10:01		Juan	Jennifer	Mark		Lisa	Karl	Robert	Evelynn	Agetha	Takete	Florida man	Bob
1/23/2021 19:10:31	Ellie	Ryan	Sandra	Michael	Ross	Michelle	Trevor	Steve	Carol	Sam	Takete	Bucket-head	Boris
1/23/2021 19:10:45	Allison	Rémi 	Hailey	Patrick	James	Catherine	Davis	Bernard	Barbara	Kerri	Takete	Chip	Troy
1/23/2021 19:10:53	Kaity 	Nick	Cammy 	John	Dan	Candice 	Brian	Reggie	Linda	Lindsay	Takete	Big Mike	David
1/23/2021 19:11:04	Ashley	Pierre	Julia	Thomas	Peter	Camilla	Doug	Ashton	Debbie	Marie	Takete	florida man	Damien
1/23/2021 19:11:33	Brooklyn	Steven	Tracy	Doug	Marty	Kim	Clayton	Armando	Connie	Mildred	Maluma	Bradley Uppercrust the 3rd	tony pajamas 
1/23/2021 19:11:56	Sarah	Tom	Stephanie	Jerry	John	Aimee	Tom	Fred	Mary	Victoria	Takete	Schmidt	Freddy
1/23/2021 19:11:57	Millie	Paul	Karen	Chase	Melvin	Tina	Gordon	Malek	Martha	Becky	Takete	Gerald	Musafa
1/23/2021 19:11:59	Michelle	Jerry	Katie	John	Eric	Katherine	Jason	David	Margaret	Kelly	Takete	Greg	Sam
1/23/2021 19:12:06	Mary	Peter	Anita	John	Samuel	Aline	Boris	John	Martha	Isabelle	Takete	Zorg	Kevin
1/23/2021 19:13:16	Abby	Mark	Rachel	Andrew	Justin	Melanie	Gordon	Felix	Dorothy	Faye	Takete	Josh	Oliver
1/23/2021 19:13:41	Emily	Jamal	Samantha	Stephen	Nick	Yasmine	Gordon	Robert	Ruth	Victoria	Takete	ya boi Bartholomew	Kev
1/23/2021 19:13:52	Claire		Mia	Rob	Alex	Tiffany 			Susanne	Hannah 			
1/23/2021 19:13:55	Emily 	Ahmad	Jessica	Eric	Toby		Jon	Antony	Barbara 	Dawn	Takete	Jimbob	Tyler
1/23/2021 19:14:58	Hannah	Kyle	Britney 	Jeff	John	Mindy	Hans	Andrew	Sandy	Helen	Takete	Stewart	Aiden 
1/23/2021 19:16:16	Kelsey	John	Karen	Dave	Peter	Felicia	Gordon	John	Kate	Kate	Takete	Benjamin	Damien
1/23/2021 19:16:40	Maddy 	Tom	Katy 	Michael 	Tony 	Ling 	Gordon 	Emrat 	Gertrude 	Hillary 	Takete	Mr. Midlife crisis 	I have the power of God and anime on my side
1/23/2021 19:16:41	Cherry	Gordon	Tracy	Eric	Stephen	Lina	Orrick	Kerry 	Joanne	Vera	Takete	Strobe von Sqwerty III	Death Penalty
1/23/2021 19:16:47	Chloe	Dan	Mira	John	Colin 	Asha	Freddie	Mark	Jane	Eleanor	Takete	Jeff	James
1/23/2021 19:17:13	Katie	Matt	Becky	Richard	Jason	Amy	Brad	Ted	Beth	Jessica	Maluma	Filbert	Zeke
1/23/2021 19:20:06	Julia	Marco	Mathilda	Bryan	Eric	Michelle	Paul	Don	Trudy	Christina	Takete	Gary	Jimmy
1/23/2021 19:20:37	Shannon	Pradeep	Jojo	Martin	Johan	Marit	Gunther	Daniel Marcus	Mary Brisbane	Charlotte 	Takete	Harry “The Loon”	Slasher Maim
1/23/2021 19:20:49	Amy	Paolo	Alexandra	Mark	Steven		Tom	Jeremy	Catherine	Sandra	Takete	Logan Paul	Kevin
1/23/2021 19:20:56	Jemma	Ryan	Ivanka	Matt	Rob	Kung Pao	Mike	Sandeep	Betty	Anne	Takete	Sir Micheal the 25th king of Mozambique	Gaylord. With a name like that theres no way you aint gonna turn evil 
1/23/2021 19:21:13	Susan	Rick	Megan	Robert	Thomas	Lily	Tom	Scott	Patricia	Hannah	Takete	Lil' Al	Elliott
1/23/2021 19:21:31	Anna	Julius	Maria	John	Tyler	Eva	Tommy	Jeremy	Sydney	Martha	Takete	Jack	Norbert
1/23/2021 19:21:52	chloe	robert	sofía	jimmy	the man has no name (???)	clarissa 	robert	henry	delfa 	velma 	Takete	jim	pickle
1/23/2021 19:22:32	Casey	Nick	Sarah	Jeremy	Emmanuael	Claire	David		Sarah	Sandra	Takete	Dj frizzle	Mortimer
1/23/2021 19:23:21	Sarah	Luis	Jessica	Tom	Jason	Veronica	Matt	Morgan	Susan	Katherine	Takete		
1/23/2021 19:23:22	Samantha	Ryan	Claire	Paul	Antony	Christina	Tucker	Sebastian	Kathy	Lisa	Takete	Uhhh	Oof
1/23/2021 19:23:34	Clara	Antonio	Isobel 	Tim	Brian	Monica	Dave	Karl	Susanna	Amy	Takete	Tive	Hearthfort 
1/23/2021 19:23:56	Katie	Joe	Alexis	Rich	Norman	Melanie	Gordon	Abdul	Sue	Patricia	Takete	Kyle	Randy
1/23/2021 19:24:02	Linde	Peter	Gwendoline	Martin	Bas	Heather	Kees	John	Angela	Sandra	Takete	Vincent Janssen	Ted bundy
1/23/2021 19:24:31	Sara	Mark	Karen	Philip	Tom	Carol	Howard	James	Barbara	Christina	Takete	John	Adolf
1/23/2021 19:26:34	Emelie	Ralph	Jessica	Kenneth	Sean	Maria	Robert	Philip	Greta	Susan	Takete	Logan paul	Adrian
1/23/2021 19:26:59	Susan	Boris 	Katie	Tom	Hector	Elizabeth	Albert	David	Norma	Carol	Takete	Looks like Logan Paul	Spencer
1/23/2021 19:28:04	Ashley	Robert	Jen	Chris	Richard	Jennifer	Scott	Frank	Mary	Emily	Equally fitting	John the Weed Smoking Uncle	B R I A N
1/23/2021 19:28:11	Emily	Fred	Amy	Josh	Michael	Charlotte	Eric	Anthony	Edna	Helen	Takete	Skeet Skeet	Brayden
1/23/2021 19:28:48	Lisa	Tom	Amber	Mike		Michelle	Kurt		Emma		Takete		
1/23/2021 19:29:05	Cerys	Anthony	Chlarissa 	Darren	Ian	Maria	Wayne	Donovan	Mary	Elizabeth 	Takete	Bruno	Alex
1/23/2021 19:29:24	Lindsey	Greg	Samantha	Jerry	Ethan	Christine	Rob	Rex	Carol	Tammy	Takete	Chris	Damien
1/23/2021 19:29:29	Martha	Akim	Scarlett	Brian	David	Veronica	Michael	Derek	Barbara	Doris	Equally fitting	Dean	Oliver
1/23/2021 19:29:58	Mila	Alvaro	Samantha	Richard	Miquel	Tina	Marko	Luca	Pirjo	Louisa	Takete	Kaljapetteri	Ferdinand
1/23/2021 19:30:10	Giselle	Anthony 	Lisa	Thomas 	Calvin	Mia	Jordan	Aziz	Deborah 	Helen 	Takete	Cole	Sheldon 
1/23/2021 19:30:17	Jacky	Abdul	Stacy	Bob	John	Linda	Jeff	George	Elizabeth	Helene	Takete	Brandon	Stan
1/23/2021 19:31:50	beth	ahmet	sophia	pete	michael	lydia	robin	george	caroline	margaret	Takete	logan	brad
1/23/2021 19:33:19	Megan	Alan	Kim	Mark	John	Gene	Niel	Dennis	Doris	Maria	Takete	Kyle	Kevin
1/23/2021 19:33:41	Jessie	Alfred	Becky	Tom	Henry	Maria	Gunnar		Cheryl	Margaret	Takete	Richter	Scrotum
1/23/2021 19:34:07	emma	mark	kennedy	brian	jed	maya	jack	tom	deborah	kelly	Takete	jake paul	ice cream cone head/Edward
1/23/2021 19:34:50	Lucy	Pedro	Laura	David	Mike	Chloe	Barnaby		Linda	Deborah	Takete	Steeeeve	Daniel
1/23/2021 19:35:05	Caroline	Michael 	Chantelle	Charlie	Jeff	Michelle 	Robert			Cathy	Takete		
1/23/2021 19:35:29	Sophie	Micheal	Baby Karen	Bob	Stern	Ona	Beef	George Washington 	Gretchen	Gruna 	Takete	Umpires Umph	Kyle
1/23/2021 19:35:38													
1/23/2021 19:35:47	Jenna	Gabriel	Jamie	Michael	Jason 	Michelle	Guy	Arturo 	Anne	Andrea	Takete	Ricky	Xander
1/23/2021 19:36:04	Katie	Jared	Ashlyn	Brad	Thomas	Emily	Boris	Paul	Debbie	Claudia	Takete	Chadley	Trevor
1/23/2021 19:36:25	Lisa	Michael	Joanna	Mark	Luke	Monica	Steve	Carl	Patty	Fran	Takete	Troy	Isaac
1/23/2021 19:36:32	Natalie	Carlos	Ashley	Steve	Brian	Alisha	Bob	Brandon	Barb	Margaret	Takete	Robbie	Chad
1/23/2021 19:36:59	Sarah	Raphael	Kacey	Todd	Jared	Eva	Stephen	Lyle	Jeanette	Candace	Takete	Travis	Kyle
1/23/2021 19:37:42	Emily 	John	Carlee	Michael 	James	Melanie	Geoff	Rich	Laura	Angela	Takete	Markie Mark	Wendell
1/23/2021 19:38:20	lindsay	marco	hannah	michael	david	linda	gordon	malik	barbara	susan	Takete	jake	demon
1/23/2021 19:38:29	Claire	Ahmed 	Ashley 	Steve 	John	Lucy	Bob	Michael	Susan	Denise	Takete	Ludwig	Quasimodo
1/23/2021 19:39:10	Laura	Rick		Stephen	Jacob	Cindy	Lars	Desmond			Takete		
1/23/2021 19:39:22	Kathy	Steve	Niki	Daniel	Clive	Sally	John	Michael	Carol	Natasha	Takete	Nigel	Stephen
1/23/2021 19:39:36	Brianna	Tomás	Brittany	Dave 	Steve	Brenda	Lars	Carl	Cheryl	Melissa	Takete	Bob	Derek
1/23/2021 19:40:27	Alice	Jeff	Hailey	Ray	Mark	Cheryl	Brent	Paul	Sharon	Harper	Takete	Logan	Jack
1/23/2021 19:40:42	Samantha	Jim	Kelly	Rob	Mark	Lin	Humphrey	Jared	Elizabeth	Cheryl	Takete	High-ass Harold 	Dick Derrick
1/23/2021 19:41:00	Sarah	Jeff	Megan	Max	Ben	Susan	George	Mike	Eleanor	Susan	Takete	Jake	Chris
1/23/2021 19:41:42	Kasey 	Arthur 	Jessica 	Mark 	David 	Sasha 	Edwin 	Jazie 	Martha 	Mary	Maluma	Tf 	Karoqtam 
1/23/2021 19:42:05	Allison	Ben	Jenna	Tim	Greg	Michelle	Gordon	Bruce 	Ann	Sarah	Takete	Slippery Jeff	Todd
